"twitter","id","name","age","gender","party","type","state","joined","days","tweets","followers","following"
"RepEdWhitfield","W000413","Ed Whitfield",71,"M","Republican","rep","KY","2011-01-06 21:36:56",1278,327,3718,199
"RepEliotEngel","E000179","Eliot Engel",67,"M","Democrat","rep","NY","2010-07-07 20:34:17",1461,791,6280,609
"RepErikPaulsen","P000594","Erik Paulsen",49,"M","Republican","rep","MN","2008-11-20 15:28:22",2055,2800,11221,2188
"RepEsty","E000293","Elizabeth Esty",54,"F","Democrat","rep","CT","2013-01-04 17:36:04",549,1127,3842,713
"RepFilemonVela","V000132","Filemon Vela",51,"M","Democrat","rep","TX","2013-01-12 16:24:06",541,216,2030,128
"RepFincherTN08","F000458","Stephen Fincher",41,"M","Republican","rep","TN","2011-02-08 16:24:26",1245,2535,6519,1121
"RepFitzpatrick","F000451","Michael Fitzpatrick",51,"M","Republican","rep","PA","2011-01-14 00:38:49",1270,3363,6931,940
"RepFleming","F000456","John Fleming",63,"M","Republican","rep","LA","2009-10-23 15:42:30",1718,1159,8871,230
"RepFrankLucas","L000491","Frank Lucas",54,"M","Republican","rep","OK","2011-01-25 15:24:07",1259,340,2246,59
"RepFredUpton","U000031","Fred Upton",61,"M","Republican","rep","MI","2010-03-18 17:34:35",1572,1931,11064,3696
"RepGaramendi","G000559","John Garamendi",69,"M","Democrat","rep","CA","2009-11-10 00:31:12",1700,7881,9917,8025
"RepGarrett","G000548","Scott Garrett",55,"M","Republican","rep","NJ","2012-11-20 15:44:58",594,511,3126,191
"RepGaryMiller","M001139","Gary Miller",65,"M","Republican","rep","CA","2010-06-14 18:12:40",1484,290,4803,71
"RepGaryPeters","P000595","Gary Peters",55,"M","Democrat","rep","MI","2011-01-10 19:17:36",1274,1309,6145,311
"RepGeneGreen","G000410","Gene Green",66,"M","Democrat","rep","TX","2010-02-05 16:37:13",1613,324,5709,226
